".rownames","EmploymentStatus.fctr.predict.Final.rpart"
"92500","Not.in.Labor.Force"
"91864","Not.in.Labor.Force"
"92332","Not.in.Labor.Force"
"92346","Not.in.Labor.Force"
"91212","Not.in.Labor.Force"
"92480","Not.in.Labor.Force"
"93407","Not.in.Labor.Force"
"91935","Not.in.Labor.Force"
"93035","Not.in.Labor.Force"
"93334","Not.in.Labor.Force"
"91317","Not.in.Labor.Force"
"92974","Not.in.Labor.Force"
"92185","Not.in.Labor.Force"
"92973","Not.in.Labor.Force"
"35029","Not.in.Labor.Force"
"92942","Not.in.Labor.Force"
"92609","Not.in.Labor.Force"
"92478","Not.in.Labor.Force"
"35199","Not.in.Labor.Force"
"34800","Not.in.Labor.Force"
"34799","Not.in.Labor.Force"
"93277","Not.in.Labor.Force"
"35168","Not.in.Labor.Force"
"35045","Not.in.Labor.Force"
"34793","Not.in.Labor.Force"
"35028","Not.in.Labor.Force"
"85015","Not.in.Labor.Force"
"35027","Not.in.Labor.Force"
"113218","Not.in.Labor.Force"
"35116","Not.in.Labor.Force"
"92481","Not.in.Labor.Force"
"84468","Not.in.Labor.Force"
"83981","Not.in.Labor.Force"
"85491","Not.in.Labor.Force"
"85121","Not.in.Labor.Force"
"83135","Not.in.Labor.Force"
"92182","Not.in.Labor.Force"
"34796","Not.in.Labor.Force"
"83591","Not.in.Labor.Force"
"35046","Not.in.Labor.Force"
"35047","Not.in.Labor.Force"
"85490","Not.in.Labor.Force"
"90827","Not.in.Labor.Force"
"92499","Not.in.Labor.Force"
"85561","Not.in.Labor.Force"
"85560","Not.in.Labor.Force"
"113219","Not.in.Labor.Force"
"91993","Not.in.Labor.Force"
"91934","Not.in.Labor.Force"
"85306","Not.in.Labor.Force"
"84279","Not.in.Labor.Force"
"24600","Not.in.Labor.Force"
"84130","Not.in.Labor.Force"
"85331","Not.in.Labor.Force"
"35044","Not.in.Labor.Force"
"112180","Not.in.Labor.Force"
"91463","Not.in.Labor.Force"
"84013","Not.in.Labor.Force"
"91863","Not.in.Labor.Force"
"112859","Not.in.Labor.Force"
